feature,importance,rank,importance_pct
drawdown,0.00012015343527309597,1,8.05
sma_20,0.00010739270837802905,2,7.2
bb_width,0.00010135305419680662,3,6.79
rolling_std_60,9.039286287588766e-05,4,6.06
rolling_std_20,8.981861046777339e-05,5,6.02
close_norm,8.689794030942721e-05,6,5.82
macd,8.311118472192902e-05,7,5.57
repo_rate,7.472338393199607e-05,8,5.01
cpi_inflation,6.851575071777915e-05,9,4.59
oc_spread,6.445074286602903e-05,10,4.32
sharpe_20,6.245241384021938e-05,11,4.19
log_return,6.051834570826031e-05,12,4.06
sma_50,5.9103509920532814e-05,13,3.96
nifty_change,5.88466797125875e-05,14,3.94
hl_spread,5.8575519688019995e-05,15,3.93
ema_20,5.771203923359281e-05,16,3.87
volume_change,5.3950483561493456e-05,17,3.62
rsi_14,5.101811484564678e-05,18,3.42
inr_usd,5.040979322075145e-05,19,3.38
atr_14,4.895227921224432e-05,20,3.28
vol_ratio,4.379595284262905e-05,21,2.94
