feature,importance,rank,importance_pct
cpi_inflation,0.00017067091666831403,1,8.54
close_norm,0.00013219043648859952,2,6.62
log_return,0.0001294229874474695,3,6.48
repo_rate,0.00010400881183159072,4,5.21
atr_14,0.00010352863082516706,5,5.18
bb_width,0.00010122723288077395,6,5.07
ema_20,9.920287629938684e-05,7,4.97
sma_50,9.521362117084208e-05,8,4.77
macd,9.422325383638963e-05,9,4.72
vol_ratio,9.047029489011038e-05,10,4.53
rolling_std_60,8.924345202103723e-05,11,4.47
rolling_std_20,8.279094436147716e-05,12,4.14
oc_spread,8.259739461209392e-05,13,4.13
inr_usd,8.258013094746275e-05,14,4.13
rsi_14,8.122421422740445e-05,15,4.07
sharpe_20,7.77120359998662e-05,16,3.89
nifty_change,7.73502677475335e-05,17,3.87
volume_change,7.721828260400798e-05,18,3.87
drawdown,7.576266452815616e-05,19,3.79
hl_spread,7.573712300654734e-05,20,3.79
sma_20,7.533374791819369e-05,21,3.77
