feature,importance,rank,importance_pct
macd,0.0001109255472329096,1,8.88
cpi_inflation,0.00010287789464200615,2,8.24
ema_20,8.776642698649084e-05,3,7.03
close_norm,7.808782975189388e-05,4,6.25
rolling_std_60,6.316296221484664e-05,5,5.06
drawdown,6.163185407785932e-05,6,4.94
nifty_change,5.957390312687494e-05,7,4.77
bb_width,5.9039114057668483e-05,8,4.73
repo_rate,5.8364787946629804e-05,9,4.67
sharpe_20,5.703310162061825e-05,10,4.57
rolling_std_20,5.492374193636351e-05,11,4.4
sma_50,5.165509573998861e-05,12,4.14
atr_14,5.020526268708636e-05,13,4.02
sma_20,4.967936574757914e-05,14,3.98
hl_spread,4.9478632899990774e-05,15,3.96
log_return,4.888163703071768e-05,16,3.91
oc_spread,4.5365417099674234e-05,17,3.63
rsi_14,4.527574064923101e-05,18,3.63
inr_usd,4.0112682563631095e-05,19,3.21
volume_change,3.895073632520507e-05,20,3.12
vol_ratio,3.580189222702756e-05,21,2.87
