feature,importance,rank,importance_pct
drawdown,0.00010225726782664424,1,7.58
repo_rate,8.795376943453448e-05,2,6.52
sma_50,8.044007681746734e-05,3,5.97
rolling_std_60,7.668647294849507e-05,4,5.69
sma_20,7.316972842090763e-05,5,5.43
oc_spread,6.974809330131392e-05,6,5.17
ema_20,6.876064499010681e-05,7,5.1
cpi_inflation,6.783559692848939e-05,8,5.03
rolling_std_20,6.713075854349881e-05,9,4.98
bb_width,6.314460824796697e-05,10,4.68
sharpe_20,6.259826277528191e-05,11,4.64
atr_14,6.147375024738722e-05,12,4.56
nifty_change,5.8858963166130705e-05,13,4.37
volume_change,5.6464143381163015e-05,14,4.19
log_return,5.56250362933497e-05,15,4.13
rsi_14,5.29681326042919e-05,16,3.93
macd,5.154906566531281e-05,17,3.82
hl_spread,5.1428319329716034e-05,18,3.81
vol_ratio,5.036776256019948e-05,19,3.74
inr_usd,4.6160341389622773e-05,20,3.42
close_norm,4.3799685954581946e-05,21,3.25
