feature,importance,rank,importance_pct
drawdown,0.00010158911918551894,1,7.0
cpi_inflation,9.76226392594981e-05,2,6.73
close_norm,9.249903396266746e-05,3,6.37
ema_20,9.192421839543385e-05,4,6.33
sma_50,8.931232750910567e-05,5,6.15
bb_width,8.809404080238892e-05,6,6.07
macd,7.6401025398809e-05,7,5.26
repo_rate,7.298114796867594e-05,8,5.03
rolling_std_20,7.166926206991775e-05,9,4.94
sma_20,6.95147056831047e-05,10,4.79
log_return,6.430417615774787e-05,11,4.43
inr_usd,6.149851815280271e-05,12,4.24
oc_spread,6.147429139673477e-05,13,4.24
vol_ratio,6.0679524176521225e-05,14,4.18
nifty_change,6.0010172273905485e-05,15,4.14
rsi_14,5.92329612118192e-05,16,4.08
rolling_std_60,5.0698328959697395e-05,17,3.49
hl_spread,5.013069867345621e-05,18,3.45
atr_14,4.842988364543999e-05,19,3.34
volume_change,4.5629176474903944e-05,20,3.14
sharpe_20,3.7433442230394576e-05,21,2.58
