feature,importance,rank,importance_pct
repo_rate,0.00015260247491823974,1,9.18
rolling_std_60,0.00010993444975611055,2,6.61
cpi_inflation,0.0001058245712556527,3,6.36
atr_14,9.016905969474464e-05,4,5.42
bb_width,8.958863090811065e-05,5,5.39
close_norm,8.478848340018886e-05,6,5.1
sma_50,8.477208066324238e-05,7,5.1
nifty_change,8.25411349069327e-05,8,4.96
drawdown,7.948750808282057e-05,9,4.78
rolling_std_20,7.79047237301711e-05,10,4.69
macd,7.472962370229652e-05,11,4.49
volume_change,6.960836763028055e-05,12,4.19
hl_spread,6.924330355104758e-05,13,4.16
rsi_14,6.749261483491864e-05,14,4.06
sharpe_20,6.439152239181566e-05,15,3.87
sma_20,6.331074182526208e-05,16,3.81
ema_20,6.283534648900967e-05,17,3.78
oc_spread,6.222060055733891e-05,18,3.74
inr_usd,6.19127484242199e-05,19,3.72
log_return,5.74812345803366e-05,20,3.46
vol_ratio,5.177854482099065e-05,21,3.11
