feature,importance,rank,importance_pct
rolling_std_60,7.856089487177088e-05,1,8.68
cpi_inflation,7.150255096348701e-05,2,7.9
sma_50,6.662335927103414e-05,3,7.36
drawdown,6.020476103003602e-05,4,6.65
sharpe_20,5.0526002542028434e-05,5,5.58
repo_rate,4.954246242050431e-05,6,5.48
rolling_std_20,4.6761612520640486e-05,7,5.17
oc_spread,4.5293245511857096e-05,8,5.01
bb_width,4.467498938538483e-05,9,4.94
close_norm,4.455335829334217e-05,10,4.92
hl_spread,3.882458622683771e-05,11,4.29
volume_change,3.553559017746011e-05,12,3.93
atr_14,3.5178491543774726e-05,13,3.89
rsi_14,3.467782480583992e-05,14,3.83
log_return,3.2064575316326226e-05,15,3.54
nifty_change,3.1521334949502486e-05,16,3.48
ema_20,2.962720877803804e-05,17,3.27
vol_ratio,2.8945056692464276e-05,18,3.2
macd,2.800144202410593e-05,19,3.09
sma_20,2.709722666622838e-05,20,2.99
inr_usd,2.5056471031348337e-05,21,2.77
