feature,importance,rank,importance_pct
cpi_inflation,0.00016358685461455026,1,8.55
close_norm,0.00015671245819248725,2,8.19
rolling_std_60,0.00012359709799056873,3,6.46
atr_14,0.00011384846729924902,4,5.95
sma_20,9.847677592915716e-05,5,5.15
rolling_std_20,9.618343210604507e-05,6,5.03
nifty_change,9.385310695506633e-05,7,4.9
vol_ratio,8.976510744105327e-05,8,4.69
repo_rate,8.957516165537527e-05,9,4.68
inr_usd,8.575290466978913e-05,10,4.48
drawdown,8.317621432070154e-05,11,4.35
hl_spread,7.983676241565262e-05,12,4.17
log_return,7.962895651871804e-05,13,4.16
sharpe_20,7.864128638175316e-05,14,4.11
sma_50,7.762377172184642e-05,15,4.06
bb_width,7.389968413917813e-05,16,3.86
ema_20,7.225421268231003e-05,17,3.78
macd,6.815548913436942e-05,18,3.56
oc_spread,6.804253789596259e-05,19,3.56
volume_change,6.616120408580173e-05,20,3.46
rsi_14,5.468118706630776e-05,21,2.86
