feature,importance,rank,importance_pct
close_norm,0.00020274873240850867,1,9.97
rolling_std_60,0.0001556815652293153,2,7.65
drawdown,0.00015375213479273953,3,7.56
sma_50,0.00011533788383530919,4,5.67
atr_14,9.87223405900295e-05,5,4.85
rsi_14,9.78574786131503e-05,6,4.81
cpi_inflation,9.721737005747854e-05,7,4.78
macd,9.283962353947572e-05,8,4.56
inr_usd,8.957459722296335e-05,9,4.4
repo_rate,8.484070276608691e-05,10,4.17
sharpe_20,8.455271126877051e-05,11,4.16
volume_change,8.423810049862368e-05,12,4.14
sma_20,8.167368414433441e-05,13,4.01
nifty_change,7.940117957332405e-05,14,3.9
ema_20,7.853631523175863e-05,15,3.86
rolling_std_20,7.83865303674247e-05,16,3.85
bb_width,7.759363052173285e-05,17,3.81
hl_spread,7.589214637846454e-05,18,3.73
log_return,7.579388948215637e-05,19,3.73
vol_ratio,7.376077028311556e-05,20,3.63
oc_spread,5.610578682535561e-05,21,2.76
