feature,importance,rank,importance_pct
rolling_std_20,9.117905865423382e-05,1,7.3
sma_20,8.677471323608188e-05,2,6.95
rolling_std_60,7.210221974673914e-05,3,5.77
vol_ratio,6.697542212350527e-05,4,5.36
atr_14,6.563908791576978e-05,5,5.26
bb_width,6.464642683567945e-05,6,5.18
volume_change,6.23852456556051e-05,7,5.0
close_norm,6.043811208655825e-05,8,4.84
rsi_14,6.0403268798836506e-05,9,4.84
drawdown,6.0243624830036424e-05,10,4.82
repo_rate,5.8431789148016834e-05,11,4.68
ema_20,5.5999831602093764e-05,12,4.48
cpi_inflation,5.558843176913797e-05,13,4.45
sma_50,5.374685324568418e-05,14,4.3
sharpe_20,5.1825709670083596e-05,15,4.15
oc_spread,5.142912996234372e-05,16,4.12
log_return,5.10783973368234e-05,17,4.09
hl_spread,5.069041662864038e-05,18,4.06
macd,5.020934950152878e-05,19,4.02
nifty_change,4.667446355597349e-05,20,3.74
inr_usd,3.216983077436453e-05,21,2.58
