feature,importance,rank,importance_pct
rsi_14,9.506680798949674e-05,1,6.79
ema_20,9.255798831873108e-05,2,6.61
cpi_inflation,8.930864496505819e-05,3,6.37
close_norm,8.15192643131013e-05,4,5.82
oc_spread,8.025306960917078e-05,5,5.73
rolling_std_20,7.938359576655784e-05,6,5.67
repo_rate,6.955729568289826e-05,7,4.96
sharpe_20,6.787887868995313e-05,8,4.84
log_return,6.64065133605618e-05,9,4.74
rolling_std_60,6.468084502557759e-05,10,4.62
atr_14,6.453747482737526e-05,11,4.61
sma_20,6.188791085151024e-05,12,4.42
vol_ratio,6.0014671544195156e-05,13,4.28
sma_50,5.941906883890624e-05,14,4.24
macd,5.8089408958039714e-05,15,4.15
drawdown,5.8061532581632494e-05,16,4.14
volume_change,5.448374849947868e-05,17,3.89
inr_usd,5.114906089147553e-05,18,3.65
bb_width,5.0233617184858306e-05,19,3.59
hl_spread,4.966562237314065e-05,20,3.54
nifty_change,4.6971503070381e-05,21,3.35
