feature,importance,rank,importance_pct
cpi_inflation,0.00018940886257041712,1,8.06
rolling_std_60,0.00018044041426037438,2,7.68
rolling_std_20,0.00014947052804927807,3,6.36
macd,0.000134943401280907,4,5.74
sharpe_20,0.00012963882327312603,5,5.52
repo_rate,0.00012122099979023915,6,5.16
nifty_change,0.00011997918081760873,7,5.1
drawdown,0.00011807204973592888,8,5.02
atr_14,0.0001158204428065801,9,4.93
oc_spread,0.00011423067444411572,10,4.86
log_return,0.00011058536110795104,11,4.7
hl_spread,0.00010117978345078882,12,4.3
bb_width,9.976103319786489e-05,13,4.24
volume_change,9.604828010196797e-05,14,4.09
rsi_14,9.55015973886475e-05,15,4.06
vol_ratio,8.982458857644814e-05,16,3.82
sma_50,8.448564312857343e-05,17,3.59
close_norm,7.707854583713925e-05,18,3.28
sma_20,7.703839837631676e-05,19,3.28
inr_usd,7.505612029490294e-05,20,3.19
ema_20,7.06313134287484e-05,21,3.01
