feature,importance,rank,importance_pct
sma_20,7.998434939509025e-05,1,7.21
repo_rate,7.523616750404472e-05,2,6.79
atr_14,6.560987185366685e-05,3,5.92
sma_50,5.8813854229811115e-05,4,5.3
bb_width,5.81558564590523e-05,5,5.24
oc_spread,5.6197585581685414e-05,6,5.07
close_norm,5.5923595664353345e-05,7,5.04
macd,5.337065549610997e-05,8,4.81
rolling_std_60,5.303049210851896e-05,9,4.78
hl_spread,5.276768024486955e-05,10,4.76
cpi_inflation,5.014487715016003e-05,11,4.52
rolling_std_20,4.949949052388547e-05,12,4.46
volume_change,4.918047552564531e-05,13,4.44
drawdown,4.859141990891658e-05,14,4.38
inr_usd,4.741912489407696e-05,15,4.28
nifty_change,4.702543874373078e-05,16,4.24
rsi_14,4.5563958974526034e-05,17,4.11
sharpe_20,4.308167590352241e-05,18,3.89
log_return,4.227412482578074e-05,19,3.81
vol_ratio,4.066327564942185e-05,20,3.67
ema_20,3.629648981586797e-05,21,3.27
