feature,importance,rank,importance_pct
ema_20,0.0001395082988892682,1,8.75
sma_50,0.00013289737944433,2,8.33
rolling_std_20,0.00012430938022589544,3,7.79
rsi_14,9.029980210470968e-05,4,5.66
drawdown,8.051983859331812e-05,5,5.05
cpi_inflation,7.360635090662982e-05,6,4.62
bb_width,7.303187212528428e-05,7,4.58
rolling_std_60,7.122086426534225e-05,8,4.47
sma_20,7.108102636266267e-05,9,4.46
close_norm,6.85488108501886e-05,10,4.3
macd,6.819105983595364e-05,11,4.28
atr_14,6.8187856595614e-05,12,4.28
vol_ratio,6.762041957699693e-05,13,4.24
volume_change,6.54697563732043e-05,14,4.11
sharpe_20,6.358999053190928e-05,15,3.99
nifty_change,6.003304915793706e-05,16,3.76
repo_rate,6.0019392913090995e-05,17,3.76
oc_spread,5.876070572412573e-05,18,3.68
hl_spread,5.6034434055618473e-05,19,3.51
inr_usd,5.525441802092246e-05,20,3.46
log_return,4.658691877921228e-05,21,2.92
