feature,importance,rank,importance_pct
cpi_inflation,0.0001116869843826862,1,8.03
close_norm,0.00010402853040432092,2,7.48
sma_50,9.052458335645497e-05,3,6.51
drawdown,8.369250444957288e-05,4,6.02
oc_spread,7.598516185680637e-05,5,5.46
ema_20,7.194675545179053e-05,6,5.17
atr_14,6.986044236327871e-05,7,5.02
rolling_std_20,6.772653041480226e-05,8,4.87
macd,6.589176755369408e-05,9,4.74
inr_usd,6.532570550916716e-05,10,4.7
rsi_14,6.218544513103552e-05,11,4.47
sma_20,5.939897764619673e-05,12,4.27
repo_rate,5.885676036996301e-05,13,4.23
sharpe_20,5.885022601432865e-05,14,4.23
log_return,5.5987110044952715e-05,15,4.03
rolling_std_60,5.403985815064516e-05,16,3.89
volume_change,5.2158286780468186e-05,17,3.75
vol_ratio,4.882320672550122e-05,18,3.51
bb_width,4.534615291049704e-05,19,3.26
nifty_change,4.462787901502452e-05,20,3.21
hl_spread,4.373710735308123e-05,21,3.15
