feature,importance,rank,importance_pct
drawdown,0.00013817802428093274,1,8.88
cpi_inflation,0.00011719798712874762,2,7.53
repo_rate,9.275498232454992e-05,3,5.96
ema_20,8.788476225163322e-05,4,5.65
sma_50,8.38103806017898e-05,5,5.38
rsi_14,7.930001429485855e-05,6,5.09
sharpe_20,7.730056768195936e-05,7,4.97
close_norm,7.725068317085971e-05,8,4.96
rolling_std_60,7.554041494586272e-05,9,4.85
macd,7.062746772135142e-05,10,4.54
log_return,6.771463231416419e-05,11,4.35
oc_spread,6.705808009428438e-05,12,4.31
inr_usd,6.700151425320655e-05,13,4.3
nifty_change,6.642246444243938e-05,14,4.27
sma_20,6.274576735449955e-05,15,4.03
bb_width,6.038726296537788e-05,16,3.88
rolling_std_20,5.98239961618674e-05,17,3.84
volume_change,5.819247780891601e-05,18,3.74
atr_14,5.2774987943848826e-05,19,3.39
vol_ratio,4.9103347737400324e-05,20,3.15
hl_spread,4.546645623122458e-05,21,2.92
