feature,importance,rank,importance_pct
repo_rate,9.213518187607405e-05,1,7.45
close_norm,8.411100952798733e-05,2,6.8
sma_20,8.372064257855527e-05,3,6.77
cpi_inflation,6.470365387940546e-05,4,5.23
rolling_std_60,6.368261110765162e-05,5,5.15
hl_spread,6.193547033035429e-05,6,5.0
drawdown,6.150118751975242e-05,7,4.97
inr_usd,6.145790994196431e-05,8,4.97
macd,6.13724721915787e-05,9,4.96
oc_spread,5.801659399367054e-05,10,4.69
atr_14,5.391418180806795e-05,11,4.36
ema_20,5.36837014806224e-05,12,4.34
sma_50,5.322374281604425e-05,13,4.3
nifty_change,5.2707786198880055e-05,14,4.26
volume_change,5.089751548439381e-05,15,4.11
rolling_std_20,5.039320785726886e-05,16,4.07
log_return,4.8944812897389055e-05,17,3.96
rsi_14,4.872810650340398e-05,18,3.94
sharpe_20,4.610073128787917e-05,19,3.73
bb_width,4.4723755308950786e-05,20,3.61
vol_ratio,4.152766277911724e-05,21,3.36
