feature,importance,rank,importance_pct
cpi_inflation,0.0001432819273759378,1,7.08
bb_width,0.00013820353997289202,2,6.83
rolling_std_20,0.00012433918891474605,3,6.14
volume_change,0.00012248844614077826,4,6.05
sharpe_20,0.00011550879607966636,5,5.71
rsi_14,0.0001118630709243007,6,5.53
atr_14,0.00010555852677498478,7,5.21
log_return,0.0001055444052326493,8,5.21
close_norm,0.00010079326075356221,9,4.98
ema_20,9.788935458345804e-05,10,4.84
rolling_std_60,9.786337031982839e-05,11,4.83
macd,9.105602948693559e-05,12,4.5
nifty_change,8.85773974005133e-05,13,4.38
oc_spread,8.627130155218765e-05,14,4.26
hl_spread,8.553529642085778e-05,15,4.23
sma_20,8.503424323862419e-05,16,4.2
sma_50,8.05036348538124e-05,17,3.98
repo_rate,6.503570584754925e-05,18,3.21
vol_ratio,6.333957953756908e-05,19,3.13
drawdown,6.251519789657323e-05,20,3.09
inr_usd,5.318298772181151e-05,21,2.63
