feature,importance,rank,importance_pct
cpi_inflation,7.095031287462916e-05,1,7.52
repo_rate,6.148695583760855e-05,2,6.51
rolling_std_60,6.016766401444329e-05,3,6.38
sma_20,5.7380644011573165e-05,4,6.08
macd,5.7336106510774695e-05,5,6.08
nifty_change,5.317192262737081e-05,6,5.63
drawdown,4.765863632201217e-05,7,5.05
hl_spread,4.6434362047875766e-05,8,4.92
atr_14,4.5024955124972624e-05,9,4.77
rolling_std_20,4.428522997841355e-05,10,4.69
sharpe_20,4.29082417213067e-05,11,4.55
close_norm,4.161902825217112e-05,12,4.41
sma_50,3.909900801772892e-05,13,4.14
vol_ratio,3.865331227643764e-05,14,4.1
log_return,3.7625374898198063e-05,15,3.99
inr_usd,3.64642395197734e-05,16,3.86
oc_spread,3.5612154351838396e-05,17,3.77
rsi_14,3.363346140758949e-05,18,3.56
ema_20,3.240377213842294e-05,19,3.43
bb_width,3.125179373455467e-05,20,3.31
volume_change,3.0621098949268345e-05,21,3.24
