stock,strategy,total_ret_pct,annual_ret_pct,sharpe,max_drawdown,days_in_market
ICICIBANK,Model,64.13,27.38,1.817,-7.65,279
ICICIBANK,Perfect Pseudo Foresight,60.79,26.11,1.832,-7.65,223
ICICIBANK,Buy and Hold,38.19,17.11,0.913,-11.14,514
HDFCBANK,Model,36.41,16.37,1.268,-9.62,202
HDFCBANK,Perfect Pseudo Foresight,48.85,21.44,1.681,-6.59,202
HDFCBANK,Buy and Hold,11.71,5.56,0.291,-18.54,514
AXISBANK,Model,71.88,30.28,1.953,-8.98,254
AXISBANK,Perfect Pseudo Foresight,51.77,22.6,1.436,-10.16,261
AXISBANK,Buy and Hold,24.52,11.31,0.487,-28.03,514
BAJFINANCE,Model,45.09,19.93,0.878,-16.4,364
BAJFINANCE,Perfect Pseudo Foresight,48.2,21.18,1.374,-11.91,181
BAJFINANCE,Buy and Hold,28.32,12.95,0.497,-18.42,511
BAJAJFINSV,Model,58.79,25.34,1.996,-7.71,139
BAJAJFINSV,Perfect Pseudo Foresight,48.4,21.26,1.476,-7.71,181
BAJAJFINSV,Buy and Hold,15.96,7.5,0.321,-22.45,512
RELIANCE,Model,24.98,11.51,0.809,-13.3,218
RELIANCE,Perfect Pseudo Foresight,21.9,10.15,0.746,-13.3,211
RELIANCE,Buy and Hold,8.76,4.19,0.196,-27.18,513
TCS,Model,6.25,3.0,0.316,-10.02,98
TCS,Perfect Pseudo Foresight,10.75,5.11,0.632,-7.07,63
TCS,Buy and Hold,-11.58,-5.83,-0.284,-34.45,514
HCLTECH,Model,59.9,25.76,1.489,-15.87,252
HCLTECH,Perfect Pseudo Foresight,76.39,31.94,1.738,-15.87,295
HCLTECH,Buy and Hold,25.25,11.62,0.489,-30.43,512
WIPRO,Model,50.64,22.15,1.483,-6.07,187
WIPRO,Perfect Pseudo Foresight,44.95,19.88,1.302,-14.78,180
WIPRO,Buy and Hold,7.47,3.58,0.132,-26.61,511
TATASTEEL,Model,26.49,12.16,0.677,-20.03,186
TATASTEEL,Perfect Pseudo Foresight,57.21,24.73,1.142,-20.03,249
TATASTEEL,Buy and Hold,44.42,19.66,0.676,-31.68,512
MARUTI,Model,77.46,32.33,2.038,-16.13,283
MARUTI,Perfect Pseudo Foresight,62.21,26.65,1.673,-16.13,290
MARUTI,Buy and Hold,44.59,19.73,0.905,-20.44,514
LT,Model,13.88,6.55,0.479,-19.68,199
LT,Perfect Pseudo Foresight,31.05,14.12,1.056,-12.78,198
LT,Buy and Hold,13.45,6.36,0.255,-22.63,514
NESTLEIND,Model,31.45,14.29,1.241,-7.17,177
NESTLEIND,Perfect Pseudo Foresight,29.47,13.44,1.156,-7.17,184
NESTLEIND,Buy and Hold,2.05,0.99,0.051,-21.98,514
HINDUNILVR,Model,32.8,14.86,1.302,-5.64,181
HINDUNILVR,Perfect Pseudo Foresight,29.71,13.55,1.209,-6.02,167
HINDUNILVR,Buy and Hold,-7.33,-3.65,-0.185,-27.94,513
SUNPHARMA,Model,46.95,20.68,1.922,-9.15,147
SUNPHARMA,Perfect Pseudo Foresight,39.06,17.47,1.266,-13.23,269
SUNPHARMA,Buy and Hold,28.99,13.24,0.67,-19.13,514
DRREDDY,Model,11.86,5.63,0.347,-13.07,302
DRREDDY,Perfect Pseudo Foresight,30.34,13.81,1.151,-10.11,138
DRREDDY,Buy and Hold,6.34,3.05,0.148,-22.98,513
CIPLA,Model,19.47,9.08,1.004,-7.07,63
CIPLA,Perfect Pseudo Foresight,19.46,9.07,0.845,-6.08,105
CIPLA,Buy and Hold,8.28,3.96,0.172,-21.07,512
EICHERMOT,Model,47.09,20.74,1.202,-16.21,231
EICHERMOT,Perfect Pseudo Foresight,82.06,33.99,1.765,-14.25,286
EICHERMOT,Buy and Hold,76.05,31.82,1.35,-14.25,514
GRASIM,Model,49.45,21.68,1.678,-9.37,160
GRASIM,Perfect Pseudo Foresight,60.96,26.17,1.664,-9.07,208
GRASIM,Buy and Hold,33.57,15.18,0.675,-19.23,513
