feature,importance_pct,rank
cpi_inflation,6.533157894736842,1
close_norm,5.705263157894737,2
rolling_std_60,5.61,3
drawdown,5.585263157894737,4
repo_rate,5.403157894736842,5
rolling_std_20,5.179473684210526,6
sma_50,5.118421052631579,7
sma_20,4.88421052631579,8
macd,4.83,9
ema_20,4.8178947368421055,10
bb_width,4.687368421052632,11
atr_14,4.644210526315789,12
sharpe_20,4.377368421052632,13
rsi_14,4.354736842105263,14
oc_spread,4.342631578947369,15
nifty_change,4.224736842105263,16
log_return,4.1947368421052635,17
volume_change,4.00421052631579,18
hl_spread,3.983157894736842,19
vol_ratio,3.763684210526316,20
inr_usd,3.7563157894736845,21
