stock,val_acc,test_acc,model_ret_pct,pseudo_ret_pct,bnh_ret_pct,alpha_vs_bnh,sharpe,max_drawdown,top_feature,nov2025_pred,label_source
HDFCBANK,92.59,93.55,36.41,48.85,11.71,24.7,1.268,-9.62,close_norm,,PSEUDO
NESTLEIND,92.59,91.94,31.45,29.47,2.05,29.4,1.241,-7.17,ema_20,,PSEUDO
MARUTI,96.3,91.94,77.46,62.21,44.59,32.87,2.038,-16.13,sma_20,,PSEUDO
AXISBANK,92.59,87.1,71.88,51.77,24.52,47.36,1.953,-8.98,drawdown,,PSEUDO
HINDUNILVR,88.89,85.48,32.8,29.71,-7.33,40.13,1.302,-5.64,rolling_std_20,,PSEUDO
WIPRO,88.89,85.48,50.64,44.95,7.47,43.17,1.483,-6.07,cpi_inflation,,PSEUDO
GRASIM,40.74,80.65,49.45,60.96,33.57,15.88,1.678,-9.37,rolling_std_60,,PSEUDO
EICHERMOT,96.3,80.65,47.09,82.06,76.05,-28.96,1.202,-16.21,repo_rate,,PSEUDO
ICICIBANK,74.07,79.03,64.13,60.79,38.19,25.94,1.817,-7.65,rsi_14,,PSEUDO
HCLTECH,70.37,79.03,59.9,76.39,25.25,34.65,1.489,-15.87,cpi_inflation,,PSEUDO
TCS,96.3,77.42,6.25,10.75,-11.58,17.83,0.316,-10.02,cpi_inflation,,PSEUDO
CIPLA,70.37,77.42,19.47,19.46,8.28,11.19,1.004,-7.07,drawdown,,PSEUDO
LT,100.0,72.58,13.88,31.05,13.45,0.43,0.479,-19.68,cpi_inflation,,PSEUDO
DRREDDY,92.59,72.58,11.86,30.34,6.34,5.52,0.347,-13.07,drawdown,,PSEUDO
RELIANCE,92.59,72.58,24.98,21.9,8.76,16.22,0.809,-13.3,cpi_inflation,,PSEUDO
TATASTEEL,59.26,70.97,26.49,57.21,44.42,-17.93,0.677,-20.03,repo_rate,,PSEUDO
BAJFINANCE,74.07,69.35,45.09,48.2,28.32,16.77,0.878,-16.4,macd,,PSEUDO
BAJAJFINSV,88.89,66.13,58.79,48.4,15.96,42.83,1.996,-7.71,cpi_inflation,,PSEUDO
SUNPHARMA,96.3,56.45,46.95,39.06,28.99,17.96,1.922,-9.15,drawdown,,PSEUDO
