feature,importance
streak_20,0.17561525565867772
streak_10,0.16874039568792468
streak_5,0.09629255617860841
prob_margin,0.06484021199035064
confidence,0.048020346225672306
conviction,0.04638154610439699
pred_is_bear,0.04426054665164409
p_bullish,0.03938958573029103
price_vs_sma20,0.03807115878778743
ret_5,0.030056073490351855
roll_acc_20,0.02283977831126669
vol10,0.021503409071190884
p_bearish,0.019540880634970555
roll_acc_5,0.018544544058040548
p_neutral,0.016011648181344693
rsi,0.015591278528080846
pred_is_bull,0.014440642208305545
ret_10,0.014068069813793256
price_vs_sma50,0.010453224674949997
ret_20,0.008852855256768813
lo_prox,0.00867992871964542
roll_acc_10,0.008656702452894629
vol_ratio,0.00860745291759392
drawdown,0.008602474565599696
sma50_vs_sma200,0.008540963104483386
vol20,0.008327555994672962
hi_prox,0.00705745288157502
sma20_vs_sma50,0.006583806242699621
ret_60,0.0053514602031309024
label_diversity,0.004855043159619688
price_vs_sma200,0.004143124171853829
acc_trend,0.003208761950895902
up_days_10,0.0017734498882427162
pred_is_neut,0.0016969235162598735
vol_expanding,0.000400892986415496
