feature,importance
streak_5,0.9193528143503886
streak_10,0.38706891284630446
price_vs_sma50,0.3411902258342471
pred_is_bear,0.302950092482475
price_vs_sma200,0.2777033321650268
sma50_vs_sma200,0.2676009201291657
roll_acc_10,0.25420058087277336
pred_is_bull,0.1831196779285941
prob_margin,0.1631942675112198
p_bearish,0.12115876539576663
acc_trend,0.11905561882350019
label_diversity,0.10561053688151235
pred_is_neut,0.10135524426997189
p_bullish,0.09622074695985038
conviction,0.08825227158249514
confidence,0.0882522715824936
ret_5,0.0825423267395099
sma20_vs_sma50,0.07557700947347983
rsi,0.06657403966034696
price_vs_sma20,0.06177552388095742
vol10,0.05897822896166856
lo_prox,0.05487196200829504
roll_acc_5,0.054707920631164184
vol20,0.04920149498513496
roll_acc_20,0.04884505288646628
ret_20,0.04155899785427138
streak_20,0.040613014995535414
ret_60,0.03836941077830249
up_days_10,0.03557822475842654
vol_ratio,0.03403077382395002
p_neutral,0.023806701265123912
vol_expanding,0.012988406760603682
ret_10,0.011876180456098317
drawdown,0.008095904539806926
hi_prox,0.008095904446535575
