feature,importance
streak_20,0.159499119217423
streak_10,0.1490311439928691
streak_5,0.1466099822298166
confidence,0.04806569695739269
roll_acc_5,0.044518692675835685
p_bullish,0.04417615946864652
conviction,0.0426178734532265
prob_margin,0.03985194770103619
roll_acc_20,0.03404219114734556
p_bearish,0.033543016937192964
roll_acc_10,0.03066809445080634
p_neutral,0.02882003220993016
pred_is_bear,0.018288224480604923
pred_is_bull,0.01632644108036469
price_vs_sma20,0.01601287616503715
ret_5,0.014246591624202484
ret_10,0.01359311856727739
vol10,0.010902590683484694
vol20,0.010208955295272949
price_vs_sma50,0.00914900554038357
rsi,0.008896848167503996
ret_20,0.008680195196713604
drawdown,0.007773769474991
price_vs_sma200,0.0071902973585112875
hi_prox,0.007086584919688003
pred_is_neut,0.006906398280736902
sma20_vs_sma50,0.00620552094347487
sma50_vs_sma200,0.006163047055120588
vol_ratio,0.0060774685899998284
ret_60,0.006002239263030275
lo_prox,0.005677865594856502
label_diversity,0.005480863820502807
acc_trend,0.004776933050747674
up_days_10,0.0024075780611924657
vol_expanding,0.0005026363447810393
