date,stock,acc_score,conf_score,acc_weight
2023-01-03,HINDALCO,0.656,0.666,0.607
2023-01-03,CIPLA,0.613,0.868,0.254
2023-01-03,INDUSINDBK,0.545,0.568,0.065
2023-01-03,BAJAJ-AUTO,0.516,0.59,0.037
2023-01-03,MARUTI,0.515,0.562,0.036
2023-01-24,BAJAJ-AUTO,0.734,0.532,0.827
2023-01-24,MARUTI,0.627,0.519,0.097
2023-01-24,KOTAKBANK,0.581,0.583,0.039
2023-01-24,POWERGRID,0.565,0.596,0.028
2023-01-24,HINDALCO,0.51,0.689,0.009
2023-02-14,SBIN,0.756,0.624,0.662
2023-02-14,ITC,0.719,0.637,0.317
2023-02-14,CIPLA,0.578,0.846,0.019
2023-02-14,BEL,0.456,0.479,0.002
2023-02-14,INFY,0.426,0.393,0.001
2023-03-07,HINDALCO,0.751,0.856,0.569
2023-03-07,TATASTEEL,0.73,0.752,0.375
2023-03-07,INDUSINDBK,0.633,0.566,0.054
2023-03-07,COALINDIA,0.441,0.423,0.001
2023-03-07,NTPC,0.417,0.566,0.001
2023-03-28,HINDALCO,0.714,0.673,0.706
2023-03-28,ONGC,0.644,0.442,0.174
2023-03-28,ADANIPORTS,0.614,0.535,0.095
2023-03-28,BPCL,0.531,0.686,0.018
2023-03-28,APOLLOHOSP,0.485,0.608,0.007
2023-04-18,TITAN,0.797,0.65,0.575
2023-04-18,NTPC,0.775,0.594,0.374
2023-04-18,ITC,0.66,0.645,0.037
2023-04-18,ONGC,0.581,0.5,0.008
2023-04-18,ADANIPORTS,0.563,0.54,0.005
2023-05-09,ITC,0.863,0.661,0.779
2023-05-09,ADANIPORTS,0.791,0.622,0.181
2023-05-09,NESTLEIND,0.695,0.493,0.027
2023-05-09,TITAN,0.658,0.604,0.013
2023-05-09,BPCL,0.43,0.495,0.0
2023-05-30,AXISBANK,0.803,0.913,0.633
2023-05-30,TITAN,0.742,0.579,0.185
2023-05-30,ITC,0.714,0.648,0.106
2023-05-30,DIVISLAB,0.663,0.826,0.038
2023-05-30,BAJFINANCE,0.662,0.443,0.038
2023-06-20,DIVISLAB,0.752,0.808,0.44
2023-06-20,ITC,0.732,0.635,0.299
2023-06-20,TITAN,0.698,0.576,0.15
2023-06-20,BEL,0.65,0.5,0.057
2023-06-20,HCLTECH,0.647,0.482,0.053
2023-07-11,TCS,0.771,0.464,0.894
2023-07-11,ICICIBANK,0.64,0.613,0.066
